Sch_Name,Category,Address,Lat,Lon,,Source:  https://en.wikipedia.org/wiki/List_of_colleges_and_universities_in_Greater_St._Louis
Blackburn College,Traditional,"700 College Ave #1, Carlinville, IL 62626",39.2886932,-89.873948,,
Fontbonne University,Traditional,"6800 Wydown Blvd, St. Louis, MO 63105",38.641545,-90.318085,,
Greenville University,Traditional,"315 E College Ave, Greenville, IL 62246",38.894586,-89.4106274,,
Harris-Stowe State University,Traditional,"3026 Laclede Ave, St. Louis, MO 63103",38.6332575,-90.2263678,,
Lindenwood University,Traditional,"209 S Kingshighway St, St Charles, MO 63301",38.6497702,-90.3964424,,
Maryville University,Traditional,"650 Maryville University Dr, St. Louis, MO 63141",38.644986,-90.506873,,
McKendrree University,Traditional,"701 College Rd, Lebanon, IL 62254",38.6084161,-89.8166284,,
Missouri Baptist University,Traditional,"1 College Park Dr, St. Louis, MO 63141",38.6415281,-90.4654508,,
Principia College,Traditional,"1 Front Gate Rd, Elsah, IL 62028",38.9488338,-90.3506573,,
Saint Louis University,Traditional,"1 N Grand Blvd, St. Louis, MO 63103",38.6278778,-90.2504996,,
Southern Illinois University Edwardsville,Traditional,"1 Hairpin Dr, Edwardsville, IL 62025",38.793103,-89.997848,,
University of Missouri- St. Louis,Traditional,"1 University Blvd, St. Louis, MO 63121",38.7092401,-90.3104687,,
Washington University in St. Louis,Traditional,"1 Brookings Dr, St. Louis, MO 63130",38.6487895,-90.312984,,
Webster University,Traditional,"Maplewood, MO 63143",38.5964041,-90.345019,,
Central Methodist University,Satellite,"411 Central Methodist Square, Fayette, MO 65248",39.1513054,-92.6862553,,
Columbia College,Satellite,"1001 Rogers St 111 Missouri Hall, Columbia, MO 65201",38.9578722,-92.3286019,,
Logan University,Special Focus,"1851 Schoettler Rd, Chesterfield, MO 63017",38.6313301,-90.544595,,
Ranken Technical College,Special Focus,"4431 Finney Ave, St. Louis, MO 63113",38.6531744,-90.2507272,,
St. Louis College of Pharmacy,Special Focus,"4588 Parkview Pl, St. Louis, MO 63110",38.6366082,-90.2630682,,
East Central College,Community/ Jr College,"1964 Prairie Dell Rd, Union, MO 63084",38.4317925,-90.9804302,,
Jefferson College ,Community/ Jr College,"1964 Prairie Dell Rd, Union, MO 63084",38.4294815,-90.9752861,,
Lewis and Clark Community College,Community/ Jr College,"5800 Godfrey Rd, Godfrey, IL 62035",38.951806,-90.1966266,,
St. Charles Community College,Community/ Jr College,"4601 Mid Rivers Mall Dr, Cottleville, MO 63376",38.759092,-90.642065,,
St. Louis Commmunity  College,Community/ Jr College,"11333 Big Bend Rd, St. Louis, MO 63122",38.5684131,-90.4905434,,
Southwestern Illinois College,Community/ Jr College,"2500 Carlyle Ave, Belleville, IL 62221",38.516694,-89.925539,,
Aquinas Institute of Theology,Seminaries,"23 S Spring Ave, St. Louis, MO 63108",38.6341331,-90.240119,,
Concordia Seminary,Seminaries,"801 Seminary Pl, St. Louis, MO 63105",38.6381561,-90.3144172,,
Covenant Theological Seminary,Seminaries,"12330 Conway Rd, Creve Coeur, MO 63141",38.6436756,-90.4542735,,
Eden Theological Seminary,Seminaries,"475 E Lockwood Ave, St. Louis, MO 63119",38.5928115,-90.3470269,,
Kenrick-Glennon Seminary,Seminaries,"5200 Glennon Dr, St. Louis, MO 63119",38.5845498,-90.3262155,,
Urshan Graduate School of Theology,Seminaries,"704 Howdershell Rd, Florissant, MO 63031",38.8013305,-90.3669824,,
Brookes Bible College,Bible College,"10257 St Charles Rock Rd, St Ann, MO 63074",38.7268667,-90.3817429,,
Midwest University,Bible College,"851 Parr Rd, Wentzville, MO 63385",38.8334076,-90.8345835,,
St. Louis Christian College,Bible College,"1360 Grandview Dr, Florissant, MO 63033",38.7755442,-90.2968882,,
St. Louis Theological Seminary,Bible College,"475 E Lockwood Ave, St. Louis, MO 63119",38.6140917,-90.4152137,,
Urshan College,Bible College,"700 Howdershell Rd, Florissant, MO 63031",38.8010183,-90.367026,,
Broadcast Center,Business/ Career/ Trade School,"2360 Hampton Ave, St. Louis, MO 63139",38.613128,-90.2893458,,
Brown Mackie College,Business/ Career/ Trade School,"1663 Fenton Business Park Ct, Fenton, MO 63026",38.53991,-90.449543,,
Goldfarb School of Nursing at BJC,Business/ Career/ Trade School,"4483 Duncan Ave, St. Louis, MO 63110",38.637259,-90.260816,,
Hickey College,Business/ Career/ Trade School,"2700 N Lindbergh Blvd, St. Louis, MO 63114",38.7095833,-90.4097275,,
L'Ecole Culinaire,Business/ Career/ Trade School,"9811 S 40 Dr, St. Louis, MO 63124",38.6353616,-90.394357,,
Midwest Institute,Business/ Career/ Trade School,"2 Soccer Park Rd, Fenton, MO 63026",38.6423605,-90.3655415,,
St. Louis College of Health Careers,Business/ Career/ Trade School,"1297 N Hwy Dr, Fenton, MO 63026",38.6420265,-90.3669157,,
Stevens Institute of Business and Arts,Business/ Career/ Trade School,"1521 Washington Ave, St. Louis, MO 63103",38.6329725,-90.2032923,,
Vatterott College,Business/ Career/ Trade School,"8580 Evans Ave, Berkeley, MO 63134",38.6216486,-90.4349216,,
